organization,current_role,data_challenge,data_skills_assessing_and_improving_the_quality_of_data,data_skills_communicating_data_insights_effectively,data_skills_creating_and_using_data_visualisations,data_skills_data_policy_and_legislation,data_skills_data_privacy_and_security,data_skills_finding_data_to_help_my_work,data_skills_including_data_considerations_in_contracts_and_agreements,data_skills_publishing_real_time_data,data_skills_releasing_open_data,data_skills_requesting_data_held_by_another_agency,data_skills_research_methodologies,data_skills_sharing_data_outside_my_organization,data_skills_simple_advice_on_what_data_is_and_how_it_applies_to_my_work,data_skills_understanding_data_governance_rules,data_skills_using_data_to_improve_decisions_and_service_delivery,data_skills_understanding_of_corporate_data_management_processes,data_skills_other_please_specify,data_related_learning_artificial_intelligence,data_related_learning_big_data,data_related_learning_computer_programming_or_coding,data_related_learning_data_sharing,data_related_learning_data_ethics_and_security,data_related_learning_machine_learning,data_related_learning_predictive_analytics,data_related_learning_statistics,data_related_learning_other_please_specify,learning_needs_self_paced_e_learning,learning_needs_video_tutorials,learning_needs_webinars,learning_needs_one_day_workshop,learning_needs_weeklong_workshop,learning_needs_online_tools_and_resources,learning_needs_a_classroom_environment_training_course,learning_needs_a_collaborative_online_community,learning_needs_mentoring,learning_needs_university_courses_and_degrees,learning_needs_all_of_the_above
"Energy, Mines and Petroleum Resources",Data professionals,NA,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
"Advanced Education, Skills and Training",Business users,"Only using excel to input program data and therefore using this is my source for evidence-based decisions. Not having easy access to the data within the Ministry, but rather having to know what exact pieces I am looking for and hoping that that data is available through someone else.",selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,NA,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Children and Family Development,Data professionals,Insufficient documentation of data sets and scripts.,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,Assessing and improving the quality of data,not selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Attorney General,Business users,The subject matter I deal with is pervasive across ministries so it is difficult to know what data is available or not since there is not a central hub to go to and find out who has data on what.  Each ministry is in a silo for data and makes it difficult to know whether we are unnecessarily duplicating efforts.,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,NA,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
"Jobs, Trade and Technology",Business users,"1st: Finding the economic data I want (I think the data either isn't collected or isn't shared). And if found, having it more user friendly.
2nd: Pushing people to use data (as I'm not sure what's out there).   
3rd:  Misalignment with StatsCan data definitions. 
",not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,selected,The landscape/map of data in the BCPS,not selected,not selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
Children and Family Development,Data professionals,Having data management responsibilities prioritized by business areas that are working under pressure with heavy wrokloads.,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Children and Family Development,Data professionals,Poor data quality,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected
Children and Family Development,Data professionals,Training when we are too busy already,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected
Children and Family Development,Data professionals,working with external contractors,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,selected,not selected,selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected
Finance,Data professionals,"In the process of surveying organizations for data, being able to be consistent across all organizations",selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"Making operational data more available and getting QA completed;
We work a lot with partners and they don't share the same goals to publish the data as well as the reports",not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,"partner agencies may manage part of the contact, this makes it hard to impose data standards and/or QA/QC deliverables",selected,selected,selected,selected,selected,selected,selected,selected,Remote sensing analysis to make landscape level decisions using passive/free satellite imagery,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Environment and Climate Change Strategy,Business users,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Citizens' Services,Business users,"1) Can't use tools or access network files from anywhere due to restrictions to storing data and using Cloud-based software
2) Not up to speed on jargon and technical lingo. For example - Didn't know what APIs were when I started working here....",not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,NA,selected,not selected,not selected,selected,selected,selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected
Environment and Climate Change Strategy,Business users,"discovering the authoritative source of data, or the source of truth.  we are not good about keeping metadata up to date in the resource ministries. 
",selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,selected,NA,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Health,Data professionals,Clear governance,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,selected,selected,NA,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected
"Jobs, Trade and Technology",Business users,There isn't data available at the level my team needs (community),selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Children and Family Development,Data professionals,NA,selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,selected,NA,selected,selected,not selected,selected,not selected,selected,selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
Finance,Executive users,having relevant data,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,not selected,not selected,selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Education,Data professionals,"Consistency. Different branches have different data for the same topic, which presents challenges when numbers don't align. We also have issues with sharing data, maintaining our public-facing data, and working with data collection schedules.",selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,selected,selected,selected,not selected,not selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
"Advanced Education, Skills and Training",Business users,"Limited data sharing within Ministry and across related Ministries - specifically, our branch does not have access to helpful data that would allow us to make more well-informed policy recommendations.",selected,selected,selected,selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,selected,selected,NA,selected,selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,selected,not selected,not selected
Transportation and Infrastructure,Business users,"Overwhelming number of sources of data, it can be challenging to discern what is truly data useful from what is not. There is a common misconception that all data is good simply because it is there.",not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,NA,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected
"Advanced Education, Skills and Training",Business users,Executive understanding of the value of data and the resulting  lack of investment in its development.,not selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,Governance best practice and models of operations (well beyond those in BC Gov't),not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Transportation and Infrastructure,Business users,Getting people to share their data,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected
BC Public Service Agency,Business users,NA,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,NA,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
Children and Family Development,Business users,The volume of data that exists in paper records,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,Lack of data accessibility and data integrity,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,selected,selected,selected,selected,selected,selected,not selected,not selected,not selected,not selected
Health,Business users,Understanding the detail and nuances of existing administrative data available for use along with determining what type of data is available to share with whom & how.,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Education,Data professionals,"lack of enterprise support.  I can build basic databases in MS Access, but who do I reach out to in order to build a better, bigger, enterprise system that multiple branches or ministries can access? 
Even with my MS access databases, I don't have much support from colleagues in my branch or ministry unless I find them.  Easily identifying, connecting and networking with other data professionals in my ministry would be great.  I would love to learn about what others are doing, learn about better database management.",selected,selected,selected,selected,selected,not selected,selected,selected,selected,not selected,selected,selected,selected,selected,selected,selected,NA,not selected,selected,selected,selected,not selected,not selected,selected,selected,NA,not selected,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Health,Business users,"Ensuring all parties involved are clear on the business requirements of the data, and how they can significantly inform methodologies for analyses to best meet the business need.",selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,selected,NA,selected,selected,selected,not selected,selected,selected,selected,selected,NA,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected
Children and Family Development,Data professionals,"Lack of data in my program area, especially longitudinal.",selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,selected,the use of data in program evaluation,not selected,not selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,not selected,selected,selected,selected,selected,selected,selected,not selected,not selected
"Advanced Education, Skills and Training",Executive users,"Incomplete, or partial data sets due to uneven participation rates across the education sector",selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected,not selected,selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,selected,NA,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Data professionals,NA,selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,not selected,selected,selected,selected,best practices for collaborating with others (ie: utilising Github to full potential),not selected,selected,not selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Data professionals,"I have to keep reminding people the importance of data and data systems to support effective evidence based decision making.  It seems like many people do not understand the importance of data until they have a question that they want answered (e.g. ""where is species x distributed in BC?""), and then often I have to say, ""we don't have enough the data to answer that question"" or I give them an answer that may not be accurate.   I think that they sometimes also underestimate the skill set needed to effectively analyze or visualize data.  For example, many people think knowing how to use GIS is enough to do analysis, but some analysis requires knowledge of geostatitsics, domain knowledge, and cartography as well.",selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Environment and Climate Change Strategy,Data professionals,"Compilation of data from many sources, compiled in many different ways and of varying quality. 
",selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Health,Business users,"The general lack of capacity in the Ministry to understand our obligations around information sharing - the heavy emphasis is around 'just get it out there as fast as possible'.  Privacy/security and access to information are presented as a (false) dichotomy, and we keep looking for a single magic bullet to 'solve the problem', such as legislation, templates, etc.  We already have most of what we need, but don't know how to a) understand our tools; b) understand how they apply in a given situation; or c) apply a sophisticated understanding and tools to establishing the necessary situation - where we share information as necessary for approved purposes *in ways that address privacy and security*.  That is, privacy and security are about *how* at least as much as *what*.",not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,NA,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,Re coding - would like to be able to bring old skills up to date,selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,not selected,not selected
Citizens' Services,Business users,data visualization,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,NA,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
"Energy, Mines and Petroleum Resources",Data professionals,"Organizational. Having to go through 3 different groups with absolutely no knowledge or understanding of the work we do to get any hardware or software or even permissions on our own database servers. They more often send us in circles. Often cause us to lose hours/days/weeks of our time for small simple things we could do ourselves. Forced disconnect between subject matter experts and IT folks. Not allowing us to do work we are fully capable of doing. Too many layers or 'decision' makers along the way. Basically, IT in bc gov't is stereotypical circle jerk of inefficiency.",not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,selected,selected,not selected,selected,not selected,selected,NA,selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Including data considerations in contracts and agreements,selected,selected,not selected,selected,selected,not selected,selected,selected,selected,selected,not selected,selected,not selected,selected,selected,selected,NA,not selected,not selected,selected,selected,selected,not selected,not selected,selected,NA,selected,selected,selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,NA,selected,selected,selected,not selected,not selected,selected,selected,not selected,NA,not selected,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Environment and Climate Change Strategy,Data professionals,NA,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Citizens' Services,Business users,NA,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,accessing real time data and linking it to other data sheets,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,NA,selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,not selected,not selected
Transportation and Infrastructure,Data professionals,"Data silos! High level data within our Ministry is stored and managed in a multitude of programs and data formats making access to data very challenging. The majority of data users are at the Region and District level, however datasets are managed at the HQ level making users feel removed from the process of data transformation. As a result, data collected and input into the systems is incomplete, incorrect, and not often quality checked which leads to poor decision making at higher levels where information is used. Data management needs to be brought down to the Regional levels at the least to ensure coordination with data users to make the data input and review systems functional for them, in turn creating better awareness of data processes and better data input and quality overall.

Users need access to all data sources through one portal to be able to compare all available data when making important decisions and to save time (and money).
Users need access to HISTORICAL datasets so that they know what has already been done on their project sites. There are unnecessary duplications of work happening annually because users don't know what has already been completed on a site years prior (eg Geotech and First Nations assessments).",not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
Finance,Business users,Difficulty to obtain data for making policy decisions,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected
Social Development and Poverty Reduction,Business users,NA,selected,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,NA,selected,selected,not selected,selected,not selected,selected,not selected,not selected,NA,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Transportation and Infrastructure,Business users,Outdated and/or non-intuitive technology,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,NA,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,selected,not selected
Attorney General,Business users,"Getting data.  I am a regulator and am reliant on data from external sources, some of whom are highly resistant to sharing data (even though it should be provided according to current legislation).  As an auditor with the regulators, attempts to develop next-level continuous monitoring programs is a no-go simply because I can't a) get data, b) get data in the form I need, and c) get data in a timely manner.",selected,selected,selected,not selected,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
Finance,Business users,NA,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,selected,not selected,selected,not selected,not selected,selected,selected,NA,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,"Managing own data, knowing where to find data, and configuring that data to suit my needs.",selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,selected,selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected
Health,Business users,"Lack of data literacy, lack of the right programs to use, understanding statistics for data analysis",not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected
BC Public Service Agency,Data professionals,"The demand for dashboards is really growing. As more lines of business become aware of the Power BI dashboards my area is producing, we are receiving more and more requests to produce them.",selected,selected,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,Increased knowledge of software such as MS Power BI.,selected,selected,selected,selected,selected,selected,selected,selected,NA,selected,selected,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected
BC Public Service Agency,Business users,NA,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,selected,not selected,selected,selected,selected,selected,selected,NA,selected,selected,not selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected
Environment and Climate Change Strategy,Business users,Interpreting various data graphs.,selected,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,NA,not selected,selected,not selected,not selected,not selected,not selected,selected,selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"Being able to find the data I need in a timely manner. I am new to my role, and finding data to perform my various tasks is extremely time consuming. Local data is not organized in a consistent manner, and I frequently have to ask around before I can find the data that I am looking for. Additionally, data is often out of date and not updated regularly.",selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,NA,not selected,not selected,not selected,selected,selected,not selected,selected,not selected,selected,selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,"Having people understand the value of data in regards to currency and accuracy.  While data can provide answers it doesn't provide the correct answers if the data is out of date or inaccurate (location, data fields errors).  There is a need to make sure that data is correctly entered and then maintained to provide those correct answers.",not selected,not selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,In IT Project Management - need to consider data sooner in the process and how to integrate this into the process.,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,Data Governance; CDMP certification,selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Business users,Support from IITD,not selected,selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected
Intergovernmental Relations Secretariat,Business users,"People not wanting to learn how to find, use, manipulate data.  It's the culture that's the issue.",selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,selected,NA,selected,not selected,selected,selected,selected,selected,selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected
Children and Family Development,Data professionals,NA,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,NA,not selected,not selected,not selected,not selected,selected,selected,selected,not selected,NA,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected
Children and Family Development,Business users,Lack of knowledge and experience with data analysis,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,NA,selected,not selected,not selected,selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,not selected,not selected
Health,Business users,Being able to translate data into a narrative that non-data people can understand,not selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,NA,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,selected,not selected,selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected
Citizens' Services,Business users,NA,selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,NA,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,NA,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,Working with people who require data-derived products who do not understand the data itself nor all of the challenges and caveats that go along with working with government databases.,selected,selected,selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,selected,NA,not selected,not selected,selected,selected,selected,not selected,not selected,selected,NA,selected,selected,selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,NA,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,selected,NA,selected,selected,not selected,not selected,selected,selected,selected,not selected,NA,selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,selected,not selected
Children and Family Development,Business users,"Data consistency!  Many of the report types we need to pull information on relies on CHIPS which is, at best, a questionable data source.  The data itself is questionable and running reports out of it is not intuitive.  The Business Analytics that Allan O'Neill has put up on the HR analytics site is a great start but it would be great to have something more robust and easily manipulated for specific needs.",selected,not selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,selected,selected,not selected,selected,selected,not selected,NA,not selected,selected,selected,selected,selected,not selected,selected,selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected
Children and Family Development,Business users,"Many tools are available to support high quality work exist and are cheap or sometimes even free (Microsoft Power BI Desktop), but it is still extremely difficult to get access to them",not selected,selected,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,not selected,NA,selected,selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Finance,Business users,NA,selected,not selected,selected,not selected,not selected,selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,selected,not selected,NA,not selected,not selected,selected,selected,not selected,not selected,selected,not selected,NA,not selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected
Public Safety and Solicitor General,Business users,Getting access to the raw data I need to answer unique questions - as opposed to the canned reports (often unhelpfully in PDF) built into the systems I use.,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,not selected,not selected,selected,selected,selected,NA,not selected,not selected,not selected,selected,not selected,not selected,selected,not selected,NA,selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected
"Forests, Lands, Natural Resource Operations and Rural Development",Data professionals,NA,selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected,selected,not selected,selected,not selected,selected,not selected,selected,NA,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,NA,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected
Public Safety and Solicitor General,Business users,Lack of available data,not selected,not selected,not selected,not selected,not selected,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,NA,selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,NA,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected
